area,tag,bv_id,time,title,duration,view,danmaku,reply,favorite,coin,share,like,author_uid,author_name,author_follower,width,height,landscape
家居房产,"打卡挑战,花园,房子,生活记录",BV1ci4y1C7Hp,2022-03-12 19:30:53,660租的小院，两个女孩子准备亲手改出来,55,773045,278,628,2072,588,553,16045,358269830,雅雅和橘子姐,118819,1920,1080,N
家居房产,"室内设计,家居,装修",BV1fS4y1U73q,2022-03-24 10:38:51,2022年新款现代简约把插座换个方向，实用又漂亮把插座换个方向,126,745171,167,347,16454,623,1706,10641,1161348429,小小的房子大大的世界,5226,1080,1920,Y
家居房产,"家居,装修,室内设计,装修避坑,家装,室内装修,装修踩雷",BV1HU4y1d7EY,2022-03-21 13:12:40,自己装修一定要提前购买的九样东西,90,744012,141,277,24168,809,1028,20625,1407488800,装修避坑指导,51959,1080,1920,Y
家居房产,"收纳,种草,整理,收纳整理,家居",BV16U4y1d78t,2022-03-25 20:23:10,搬家买了50多个收纳…其中这3个超牛！,196,739655,284,363,38513,2598,1605,41091,25782796,深夜徐老师,1176187,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,奇葩,建筑设计,迷惑,搞笑,建筑",BV1k3411n7QY,2022-03-29 17:57:23,"日本大冤种夫妻买下古迹地皮！设计师：""坐牢就完事了”",784,718187,3655,1335,1966,2285,1233,19321,671011280,百万巨星麒麟君,640876,1920,1080,N
家居房产,"打卡挑战,创意,卫生纸,环保,老外真会玩,布料",BV1Nb4y1p7m2,2022-03-17 14:44:52,这个够环保了吧，可以重复使用的卫生纸，用布料做的卷纸。#环保 #卫生纸 #创意 #好物分享,20,704964,378,604,955,34,3794,9994,191155958,全球不知道,15215,1080,1920,Y
家居房产,"生活,搞笑,室内设计,装修,装修避坑,打卡挑战,家具房产,鉴定网络热门视频,生活改造计划",BV1zq4y1v7yQ,2022-03-24 21:01:43,鉴定网络热门装修视频，大房间设计成小卧室。鉴定网络热门装修视频,99,667011,207,424,2003,783,367,28551,603841071,室内设计师-梁正,92408,1080,1920,Y
家居房产,"生活改造计划·第二期,居家生活小妙招,办公,升降桌,好物",BV1or4y1B7NQ,2022-03-18 20:48:31,你会喜欢一边办公一边运动吗？,31,656535,270,544,10434,1284,1731,29239,1828994676,小蓝蓝plus,494426,2160,3840,Y
家居房产,"生活,搞笑,家具,装修,装修避坑,独居生活指南,打卡挑战,家具房产,鉴定网络热门视频",BV1mL4y1u7XQ,2022-03-10 19:00:23,打假网络热门装修视频十九期。6平米小卧室做秘密空间,133,618383,484,424,1737,481,503,25946,603841071,室内设计师-梁正,92409,1920,1080,N
家居房产,"人生处处有惊喜,生活记录,奇葩,阳台,装修,露台",BV1yT4y1i7S8,2022-03-28 15:05:00,出人意料的栏杆,151,607316,3055,1663,2323,5538,3636,37442,1519547765,罗兰朵,139915,1920,1080,N
